"Month / Year","Segment / Function","Update Date","AI Use Cases","Overall Status","Executive Summary","Key Risks and Issues","Progress on Use Case this period","Details on Change Management","Path Forward","Lead","Status on Change Management","Modified","Modified By","Questions / Assistance Needed from the Working Group"
"June 2025","Product (Design & Mgmt)","6/30/2025","Product Requirements Document (PRD) Assistant - Product Managers,ADO User Story - Product Managers,ADO Epic - Product Managers,ADO Feature - Product Managers,Release Notes Generator - Product Managers,ADO Agent Workflow - Product Managers,No Code Prototyping Tool - Product Managers,Centralized Customer Insights - Product Managers,Business Case to Product Delivery Workflow - Product Managers,EPC Investments Tracking - Product Managers,Roadmapper - Product Managers,QBR Automate - Product Managers,Product Info Bot - Product Managers,User Experience Deep Research,Prototyping+ / UI Vibecoding,Github Copilot Agent Assisted Development,Centralized IP - Design,TaxLaw2Code (ADO) – Tax Research (Content),Release Notes AI Creation - Tax Research (Content) ,Modernize iDesign Development Tool - Tax Research (Content) ","Green - As per plan or better","Additional use cases identified and underway for Product Management, Product Design, and Tax Research Content. Will continue to assess scope/usage and perform tests and experiments into second half of 2025.  Will assess financial savings in Q3/Q4 2025.","RISK: Dynamic nature of product management role and activity, based on outcomes rather than outputs, make harder to find one single metric that can be utilized to single out efficiency gains by using AI. While we see the adoption of AI in these roles, it’s harder to estimate impact only based on time-savings dimension.
RISK: Also connected with the above, there are limited specific AI tools for Product Managers, and some may even increase complexity or force strict processes. While we evaluate options to implement a no-code prototyping tool or product management system, our current hypothesis is that generic tools (like Copilot / AI Platform Open Arena) might be best suited for the role – and we may create specific prompts or agents for the specific use cases that we target.


","Five Product Manager use cases are being tracked in Launch stage, three in the Experimentation stage, and five in Ideation stage to be integrated into the product management workflow in support of the Product Operating Model. Product Requirements Document (PRD) Assistant and ADO User Story Builder, ADO Epic & Feature Builder, and Release Notes Generator are Launched, all leveraging both Open Arena and Copilot Chat Agent tools promoted on the Atrium, to the Innovation Team, and Product Manager Copilot license holders for feedback. 

Product Design continued AI-assisted prototyping experiments focusing on the “Prototyping+” use case. In mid-June, the team kicked off an active discovery with Vercel’s v0 tool, including onboarding and training sessions spanning design, engineering, product management, as well the Tax Frisco Summer intern program. This culminated in presentations by high school interns using v0 for the first time as well as an internal hackathon-style evaluation where cross-functional teams rapidly built high-fidelity prototypes using natural language prompts building working prototypes 6x faster. The Prototyping+ pilot continues into July with a larger evaluator cohort. Results from this trial (e.g. survey feedback, prototype examples, time-savings metrics) will inform a recommendation on AI-Assisted Prototyping+ tool adoption for Product Design. The design research function made strides in using AI to accelerate user experience (UX) research. In June, the team operationalized this capability and began measuring its adoption and impact.

In Product Content, we developed the requirements for the TaxLaw2Code project for analyzing differences and will begin the design work for creating ADO tickets automatically from the annotations. In addition, the Lead Tax Analysts are using Materia in their tax research. Finally, we have hired in May an AI Program Manager to identify all use cases, prioritize based on impact, and work towards implementation.  In June, we held an AI workshop with AWS to refine the requirements for TaxLaw2Code. Beyond the structured outcomes, the workshop yielded valuable, unexpected benefits. Participants experienced strengthened relationships and the deep satisfaction of achieving alignment. This human interaction is crucial for true transformation, fostering trust and a shared sense of purpose that extends beyond the official goals of the workshop.","Product Management, Design and Tax Research are focused on engagement for product manager and design-focused solutions via comms, Atrium page and Viva Engage community launch, Innovation Teams, office hours, AI solution and tools focused trainings, and expansion of Copilot license activation and promotion. ","Product Management path forward is to enhance existing AI solutions via Open Arena models and Copilot capabilities, while continuing innovation discovery and experimentation toward development of new use cases following the Product Operating Model, and in parallel exploring external AI-prototyping tools to be included in upcoming ""future of product management"" trials, in collaboration with Design and Product Engineering cross-functional partners.

Product Design’s path forward is to continue advancing experimentation with a focus on business-aligned pilots for early adopters across the organization, prioritizing the selection of a strategic AI-assisted prototyping tool—v0, Lovable, or Figma Make—by Q3.

For Tax Research (Content), we are working on Phase II of TaxLaw2Code in Q3 with the creation of ADO tickets with user story requirements. In addition, we are working to secure an AI Engineer resource to allow for work to begin on Phase III which will allow recommendations to be rendered to Analyst on the needed changes to logic.   ","Perez, Pablo (TR Product);Shaler, Sara (TR Product);Abadir, Nadia (TR Product);West, Jennifer (TR Product);Coleman, Claudia B. (TR Product);Howard, Robert (TR Product)","Progressed and being actively managed","6/30/2025 10:44 AM","West, Jennifer (TR Product)",
"June 2025","Product Engineering","6/30/2025","[]","Green - As per plan or better","Adoption of AI-powered development tools is steadily increasing, with 61% of engineers now using them at least once—a 13% rise over the previous month. In addition to GitHubCoPilot and AmazonQ,  new tools such as Cursor, Cline, and Claude Code have been widely rolled out, alongside ongoing enhancements in telemetry and onboarding processes. Enablement initiatives, including the TechBytes session (650+ participants) and HerTechQuest hackathon (350+ participants), have driven strong engagement across the organization. Additionally, the new AI-Powered Dev Tools self-help assistant has been launched to provide easy access to information and training resources.","1. Cline offers potential for faster code development, but carries risks of IP loss and harm to TR systems. To mitigate these, we propose limiting use to internal LLMs, employing development containers for isolation, and implementing robust auditing.
You can find guidelines here: https://trten.sharepoint.com/sites/intr-isrm-business-and-product-security/SitePages/Securing-the-AI-coding-tool-chain.aspx
2.  Developer surveys indicate that while AI can suggest boilerplate code, it lacks the ability to ideate or strategize. Therefore, it is crucial to maintain a human in the loop for editing and guiding the output of AI, rather than relying on it solely as a source of output.","1. Our engineering community is using Viva Engage actively.  Posts with short demos and everything related to AI-powered dev tools are available via AI-Powered Tools Topic: https://engage.cloud.microsoft/main/org/tr.com/topics/eyJfdHlwZSI6IlRvcGljIiwiaWQiOiJFVF9mNjhmOWZkNS05MWJiLTRlMTMtYWNmYy04ODVmNTgyNThhYmMifQ/all
2. The CIO team had identified a few issues with GHCP under usage reporting. Some of the issues got addressed with new API from GitHub, some others are  currently investigated
3. The second version of Tech Bytes: Unlock the power of AI Agents, happened on June 17th and covered: what AI Agents are, when to use them (instead of traditional workflows or RPA), and how to build them responsibly and effectively. More than 650 engineers attended the session.  The guidelines, the presentation from the session, and the recording are available on the TechBytes Atrium site. - https://trten.sharepoint.com/sites/intr-distinguished-engineer/SitePages/TechBytes.aspx?
4. HerTechQuest 3.0 was held on June 12th in Bangalore, Hyderabad, and Ahmedabad, with participants leveraging AI-powered tools: CLINE and GitHub CoPilot, for the creation of innovative solutions. The event saw 350 participants, mostly from Engineering, with positive feedback about the overall experience and mentor support. Read more on the outcome on Viva Engage - https://engage.cloud.microsoft/main/org/tr.com/search?search=hertechquest&type=threads
5. The AI-Powered Dev Tools Assistant is introduced —a new resource to answer your questions about AI-powered developer tools. Get help with available tools, access and setup, best practices, training resources, and connecting with experts.-https://dataandanalytics.int.thomsonreuters.com/ai-platform/ai-chains/use/290f7d77-a720-4e72-b393-276070a65378?sidebar=settings ( access with ZScaler) 
6. To mitigate some of the potential risks with Cline (mentioned in Key Risk and Issues), we rolled out LiteLLM that allows access to TR-approved LLMs. There is a Short Practical Guide to Using Cline that helps engineers start using Cline in a simple and secure way:https://trten.sharepoint.com/sites/intr-distinguished-engineer/SitePages/A-Short-Practical-Guide-to-Using-Cline.aspx","None","We provide both open-source and licensed, commercial tools for developers to improve productivity, coding efficiency and developer experience, and measure usage and trends across these tools. ",,"Fully integrated","6/30/2025 3:22 AM","Laketić, Jelena (TR Technology)","None"
"June 2025","Latam C2C, CS&S","6/30/2025","[]","Green - As per plan or better","We have implemented initiatives that have been adopted by the teams. However, there is still much to evolve, which is why our roadmap includes significant improvements throughout this year.","RISK - There is a potential risk that the anticipated productivity gains in various AI initiatives will overlap, impacting our overall estimates. Effective implementation of these initiatives will be essential to identify and correct overlapping areas, ensuring accurate productivity estimates.
RISK - The potential risk of unsuccessful initiatives may negatively impact the customer experience due to the reduction in new hires for the support team that is currently happening.
","We have made progress in experimenting with and implementing various AI solutions, with significant milestones as follows: 
• 30% in the initiative of suggested responses for representatives. 
• 80% in ticket creation – CS detractors / email channel. 
• 80% in ticket creation – chat channel.
","The change management plan is ongoing, with a focus on user training and ongoing communication. We monitor performance and troubleshoot issues as they arise, ensuring a smooth transition to new AI solutions.","In the coming months, we will continue to focus on the implementation and integration of advanced-stage use cases.","Marangoni, Josiele (LatAm)","Progressed and being actively managed","6/27/2025 6:01 AM","Marangoni, Josiele (LatAm)",
"June 2025","GTM - Legal","6/30/2025","[]","Green - As per plan or better","Gong: Month 3 of Legal Professionals usage was filled with additional change management activities to drive adoption and partnership with Gong to explore the ""art of the possible"" within the tool. We are seeing are seeing an increase in adoption across GLLF, SLF, and MLF with LPE intervention activities because of the lower adoption rates. Successfully launched Gong to Legal Customer Success Team (70 licenses). 

Gainsight: User Acceptance Testing (UAT) completed and approved. Next Steps: Obtain approval to move Gainsight build into Production on 6/23. ","Gong: Consent-related issues in Europe were flagged, with 24–25% of calls rejected. Exploring a pre-call automated email being turned on for LPE that would notify customers of the purpose of Gong and upcoming request for consent to combat the issues. Another issue was discovered in which teams were thinking they were ""adopting"" Gong by using the call recording and automatic email summaries. While helpful, the capabilities of Gong far surpass call recording, so the team is working to educate across all segments including a new short video clips showcasing the different AI capabilities within the Gong platform. 

Gainsight: Status report from Product still outstanding.","Gong: Strategic integrations with Tableau reporting dashboard, Salesforce, Gainsight, and Genesis were prioritized to automate reporting and enhance CRM workflows. Subsegment training sessions and round tables executed to increase adoption and discover any obstacles to workflows.
Gainsight: Successfully completed the design and build of Gainsight.  
","GONG: Analyzing overall usage data at assign new Mind Tickle Gong training to help with adoption. Will assign new training to Paid licenses that are below the enterprise level of internal AI ""active usage"" which is defined as fewer than 8 logins per month with the exception of Gov as they are not licensed at this time. Continue to identify low usage reps and continue communication strategy, with second low usage comms, including leadership escalation. Highlight high adopters within Gong Hall of Fame. Threading Gong into ways of working with Solution Selling and Unified Launch Enablement plans to increase adoption. 

GAINSIGHT: Distribute a one-pager titled “What You Might Have Missed in Gainsight” to re-engage users 
Continue the bi-weekly status reporting cadence, with the next update due June 17
Coordinate with the SOAR vendor and internal Business Architecture team to align the Customer Success Operating Model with Gainsight workflow","GONG: Continue adoption efforts for Gong with a strong focus on the ""art of the possible"" with leadership and specific interventions for LPE
Provide requirements for the Gong writeback to Salesforce
A new training curriculum is being rolled out, including job aids, simulations, and e-learning modules tailored for sales reps and managers
A Data Reporting for Gong session will follow, focusing on how Gong data is being used to inform business decisions and performance tracking
Building Gong into our Summer Sales Enablement series leading up to the Unified Launch, to test value proposition of our new features and increase adoption of Gong. Reps will have an assignment within Gong to complete to test their talking points with customers. 

GAINSIGHT: Complete UAT and obtain Product and Business signoff.",,"Progressed and being actively managed","7/10/2025 9:41 AM","Kuyper, Cassidy (Legal)",
"June 2025","Data & Analytics","5/31/2025","[]","Green - As per plan or better","Narrowed and grouped opportunities into two high level use cases: code generation for data engineering and data science; and streamlining and automating AI and data governance processes. High level work plan is complete for both use cases. New Head of Data & Analytics endorsed use cases and estimated benefits. PM is tracking use case progress and results. Exploring additional opportunities with other groups, including Data and BI Platform teams.","Internal adoption of GitHub Copilot.","Most teams have done the initial rollout of GHC and other AI tools.
- Enterprise analytics has requested 20 additional GHC licenses
- Informatica and IBM WatsonX Agentic AI for ECM have done initial deployments and are in exploration phases and early testing/adoption of the tools. ","NA","Additional opportunities to be explored with other groups that recently joined Data & Analytics.",,"Just getting started","6/27/2025 4:24 PM","Imoagene, Bugie (TR Technology)",
"June 2025","Content Ops","7/8/2025","[]","Green - As per plan or better","1. In Commentary, AI-assisted copy editing is in use for UK publications with complete document processing and also files using MS Word track changes functionality. This end-to-end functionality has been moved to production. Team is performing rigorous testing to ascertain if the AI solution can be extended to US and CAN jurisdictions as well.
2. In Content Acquisition, Judicial Filings Optimization project team released full version of a workflow for processing appellate court briefs (Ohio jurisdiction) in production in Q2 2025.
3. In Primary Law, team continues to prioritize and focus on Reimagine Codes and CAN Cases initiatives. Use cases have been identified and experimentations are underway to ascertain potential future state of these workflows.","Uncertainties related to reimagination exercise that's currently underway. [Mitigation: Continue to priorities this initiative while working in collaboration with Ops, Editorial, and Technology; conduct experimentations to explore possible future state of the workflows.]

Also, the unknown unknown related to capability needs and workflow configuration. Integrating with legacy technology is time-consuming and fraught with surprising issues that need to be dealt with on a case-by-case basis. [Mitigation: Expanding capabilities in (and subsequently migrating more content to) Content Console means that more of these issues are avoided or already resolved.]","Commentary: The Commentary copy editing team has accomplished the targets set for Q2 2025. Automation of copy editing of UK publications based on defined rules is complete.

Primary Law, Specialty, and other DIY: The automated 'Arizona Governor's Letters' process has been officially deployed to production successfully replacing a previously manual and time-intensive process. Content Operations AI Experimentation Playbook (beta version) for the Innovate Ops Community launched on June 27.

Knowledge Management: KM file cleanup activity 100% complete. Team reviewed 246K files and post assessment was able to identify 76K valid files thus delivering significant efficiencies through this exercise. Team continues with chatbot testing.","Program-level change management plan was approved. Project-specific change management plans are under review and being finalized. Some projects have plans underway and others are drafting plans.","DIY AI capability focus - Implement DIY Workflow Architects escalation protocol.
Acquisition (Judicial Filings) - Finalizing GCS standard XML instructions for Trial Docs.
Primary Law - Continue JWB development of AI assisted processing; further experiment and launch DIY use cases using newly released capabilities.
Commentary - Complete automation of copy editing for US publications; continue with efforts to extend the AI solution for CAN publications.
Specialty - Continue DIY use case development, launching/expanding automation for processing law reviews, news.
Knowledge Management - Launch Ask Connie bot for general Content Operations use.","Tripathi, Ravi (Content Operations)","Progressed and being actively managed","7/8/2025 8:18 AM","Tripathi, Ravi (Content Operations)","n/a"
"June 2025","GTM - TAP","6/30/2025","[]","Green - As per plan or better","The TAP internal AI program is progressing strongly, with a clear pivot toward workflow-centric use cases and measurable business impact. As of May 2025, the program is exceeding its active usage targets across all internal AI tools (especially Gong), with adoption driven by targeted enablement (e.g., roadshows, curriculum), strategic pilots (e.g., Gong Engage, Aura Co-Pilot), and cross-functional alignment on operational metrics and strategic outcomes.","There is an opportunity to increase Copilot Studio expertise. The platform is showing great potential that we just haven't been able to transform into reliable deployments in TAAP.

Gong is experimenting with a beta pilot for the M365 and Gong integration, however a major issue is this will only work for users with M365 licenses and currently this is not something that has been rolled out to everyone (sales reps will benefit the most from this initative). ","Gong Engage: Pilots are underway with strong interest in AI-powered call analysis, account briefs, and workflow automation. A full rollout is planned for June, pending resolution of Salesforce data discrepancies.
Aura Co-Pilot (Seismic AI Chatbot): Completed its one-month pilot in mid-May. Feedback is being incorporated into broader enablement plans.
Pre-Call Planning v2: Beta testing began in late May for a multi-agent framework that integrates SPOG and buyer personas to improve product positioning. We are now working on establishing a rollout/launch to TAAP with this first iteration.
AI Curriculum: Built out onboarding training on AI for new hires, and built out requirements and strategy for Wave 2 Roadshows with Client Executives with Gong to drive workflow centric use cases across all internal AI tools. 
Q3 Quarterly planning complete with established Internal AI program focus areas for Q3: focus on driving Internal AI Utilization & Impact, Gong Refresh 2.0, and launching TAAP All-Star Network of super users across major BIT initiatives including use of internal AI. 
Launched QBR prep Gong AI Brief.","Reinvigorating change management through the use an AI Habits Roadshow, designed to integrate specific AI habits into daily workflow. We have completed all wave 1 roadshows (covers users who use all of our tools including gong); wave 2 kicking off this quarter will focus on MS365 Copilot licensed users and their workflows, and wave 3 are users who only use copilot bing and open arena and do not have gong or copilot m365 licenses. In addition, using weekly newsletter to put AI Use Cases, functionality, and education front and center for the sales floor. We will also be focused on revamping and rebuilding our Atrium Sharepoint site for the TAAP Internal AI program.","Continue to drive daily AI habits, embedding tools into the daily workflow. Determine go forward plans on in-flight pilots (ACES pre call planning v1.2; and the Auro Copilot); and build out solution for pre-call planning v2 (QBR prep); work with Gong on strategic outcomes and workflow impact analyses.",,"Progressed and being actively managed","6/30/2025 3:21 PM","WILLIAMS, MAYA (Tax&Accounting Prof)","Are there teams that have successfully deployed agents in Copilot Studio to non-M365 Copilot users? Answer: Not in TAAP"
"June 2025","Reuters - Editorial","7/7/2025","Fact extraction and summarisation with FactGenie,Translation to journalistic standards,Video Editing","Green - As per plan or better","As we wrap up the first half of 2025, we are looking at whether we start to run down some of our workstreams into BAU - and what BAU looks like in an AI world, including tracking model drift, prompt performance and tracking where AI has been used in production. We are also planning for late 25 and into 2026 to make sure that we stay ahead in the use of AI for news both in our own newsroom and in our products and are hoping to plan against EPC news this month. Main areas of focus will be use of agentic architecture for faster iteration and video. 
Where we have slowed down in our workstreams, the main reason has been misalignment between Editorial's expectations and the way Product has interpreted it. We need to rethink product development in an era of AI given what is now possible with an end user vibe coding a solution vs integration in to approved and maintained systems and processes. We need to retro not just what we have produced but now how we are producing it. 
Our change management training and support has ramped up a gear across June and we hope to see a positive change in the adoption numbers when they come out. ","Evaluations are still worrying us a lot. Who is doing interesting work in this elsewhere in TR? 
We plan to use Coco-mini for some of our drafting and RAG solutions and will need to work out responsibilities across TR and Reuters teams to ensure smooth deployment and future development, knowing that Reuters will be a smaller internal customer fighting for air time against major external legal customers. 
Are there any plug and play agentic solutions being built elsewhere in TR that we can learn from?","FactGenie - We hit the goal of 40% of our published alerts coming from FactGenie! Work ongoing to move towards more automation of alerting without pre-publication human checks and also to add non-corporate disclosure feeds to the LLM-based snapping solution. 
LEON - The Product team has decided to move ahead with CoCo-mini for drafting and RAG prototypes. There is a lot of work to do with the TR AI Platform team to get this working and establish the correct procedures for maintenance, ongoing development etc. 
LAMP - We are starting to roll out the non-English packaging products in LAMP. However we have hit two snags on non Reuters Ready packaging, particularly the Top News packaging we do for LSEG and sports packaging we do for third party content. Those two snags are RED and AMBER while all Reuters Ready is GREEN
Translation - Bedding down CheckMATE (the gen AI editing prompt) in the romance languages. Picky journalists are never happy with outcomes so some extra tweaking needed on prompt and potentially the model. Next step is to focus on Korean and Arabic as well as German and Turkish. 
AVISTA - Awaiting read out from small group of producers testing Avista as a scripting tool. Synthetic voice contract signed at the end of June and we will report on first results at the end of July. 
","There has been a lot of buzz on change management since the increased adoption goal to 100%. Our Newsroom change management group is ramping up (although will be slowed down a bit by summer holidays). We have now appointed a Newsroom AI Editor (Rob Lang) who will also be helping people at grass roots level. He held a hackathon for eight journalists in late June which proved both that there are ideas we can be solving using vibe coding tools like Cline but also that we need help from technology and product to shape the prototypes into something workable - and critically somewhere to run the programmes (an OpenArena for code) ","FactGenie - Continue work on accuracy and relevance to move towards full automation as well as expanding the funnel of incoming information - non corporate, social media etc. 
LEON: Drafting - work out integration plan for CoCo-mini as the core drafting interface. 
LAMP: Press on with release of non-English Reuters Ready and speed up solution for Top News and Sports packaging. Roll out story ranking (less of a priority than the others)
Translation: Evaluation is still a tricky task given the subjectivity of translation. We need to get a better balance between SMEs and a new objective measure of excellence. Next languages - Korean a priority for LSEG.
AVISTA: Start work on a much bigger solution that is not just trying to retrofit AVISTA into our Newsroom workflow but which rethinks the whole workflow and tooling set-up (this is dependent on EPC funding)","Barrett, Jane E. (Reuters)","Progressed and being actively managed","7/7/2025 4:14 AM","Barrett, Jane E. (Reuters)","Reupping Q about Deep Research/Operator if others are using them? Also are other groups looking at evaluations and LLM as a judge? Adding an ask for help finding examples of using Agents in internal processes. "
"June 2025","Reuters - Commercial","7/4/2025","[]","Green - As per plan or better","Across Agency and Professional teams we continue to see interest to learn more about how they can leverage OpenArena and other tools, as well as some individuals experimenting with their own chains. We have a few chains in progress from Commercial Excellence, Marketing, Systems, focused on improving personal productivity, help utilize internal knowledge and/or produce internal guides and other relevant content.
In June we delivered the Q2 AI in Action session with Comms support. The session focused on showcasing interesting new chains, new websearch on Arena and advertised champion program for Commercial teams as well as presented learnings from Reuters Events champions. During the call we run a few surveys, and our findings are:
•	70% claim to use AI tools daily or multiple times day, and 26% don’t get any barriers in using AI. 
•	Those who experience barriers, mainly pointed to not trusting output quality, not fitting their workflows or not knowing which tools are available. 
We will continue promoting relevant use cases with tools available as well as keep on educating about AI limitations and best practices; this should help address some of the challenges mentioned. We're launching the AI champion program in July, which will combine both active participation (driving own/group projects) as well as more passive (education etc.) giving champions the foundation to be active AI tools users and developers.

","Budget, prioritization, education still nedeed
","Marketing: We have introduced marketing team to Landon Balster's team to see how we can leverage Adobe Firefly. 
Sales, Outreach: use cases have been identified and we are in final stage of discussing the shape of the pilot program internally and with Outreach team
","Na","AI Champions program kicks of July 10th. We have received 20+ submissions people across Agency and Professional who are keen to champion AI internally with their teams and their BU. Brainstorming formats and projects/activities for the group for work independently on projects relevant to their role, expertise, and BU, e.g. newsletters, communications, exploring training opportunities (internal and external resources), research on market trends, solutions and tools externally. Initial focus will be on exploring relevant training opportunities , coordinating ""A Mindful Approach"" workshop with Laura Mai Edwards and creating resource space (Atrium) for Reuters commercial teams.
",,"Progressed and being actively managed","7/7/2025 3:49 PM","Morse, Jonathan R. (TR People)",
"June 2025","Global Services","6/30/2025","RFX Content/Analysis Optimization,Contract Analysis,Services Gateway,Spend Analysis","Green - As per plan or better","1. CoCounsel 2.0 and CoCounsel Drafting Implementation: CoCounsel 2.0 was deployed in Q1. CoCounsel Drafting will be deployed by the end of Q3-2025.

The CoCounsel Drafting strategy includes potential integrations with Contract Express for template automation and Practical Law for legal playbook automation. Procurement is partnering with Procurement Legal to establish a cross-functional working group focused on identifying efficiency opportunities in contracting processes, with primary focus on document comparison capabilities.

2. RFP Template Generation MVP: The MVP for collaborative RFP template generation has been successfully configured in Kronos V2, our Sourcing Projects Management solution. UAT was successfully completed in May, engaging Sourcing SMEs from the RFP Optimization program. Go-live is set for the last week of June, with plans to expand RFP template automation throughout Q3. Now, with our expertise in Copilot Studio, we are brainstorming on how to scale the solution for RFP analysis and generation, providing more value.

3. Services Gateway Chatbot Development: This development will be split into separate AI agents, starting with the deployment of our Travel & Expenses agent in July. We are currently creating our internal governance model for AI agents and compiling a list of potential use cases to be developed through Q3-H1 2026.","- Complex system integration risks: Integrating the AI solutions with existing systems, databases, and workflows.​
- User Adoption and change management risks: Resistance to change or difficulties in understanding and using the new solution could hinder project success.​
- Technical risk: Algorithm complexity could delay or impact the effectiveness of the solution.""
","In   H1, Services achieved 65% utilization of key AI tools (CoCounsel V2, OpenArena, MS Copilot), with CoCounsel V2 reaching 53% adoption among Sourcing and Supplier & Contract Managers, contributing with use cases and opportunities to the Client Zero strategy. An AI Agent for T&E FAQs built in Copilot Studio is set for July pilot while Q3-Q4 plans include CoCounsel Drafting rollout alongside scaled OpenArena capabilities, Copilot Chat, and expanded AI Agents across E2E Procurement and REFM. We are also benchmarking AI use cases in Procurement across our industry peers with a view to further expand GenAI utilization and automation to additional areas.
","CoCounsel (Next Steps):
•	CoCounsel Core 2.0 Rollout: Phased upgrades through the end of 2025 as they become available.
•	Explore and deploy CoCounsel Drafting . We are in the process of aligning a dedicated training session for our team, which will dive deeper into the platform's features and integration with MS Word. We'll share more details as soon as they are available.

Efficient RFx Analysis
•	Run a formal User Acceptance Testing (UAT) for the Minimum Viable Product (MVP) of collaborative RFP Template generation deployed in Kronos, involving Sourcing SMEs from the RFP Optimization program to validate capabilities and fine-tune the solution.","Further Integration and Training:
•	Continue and expand training sessions for AI tools such as CoCounsel Drafting and CoCounsel V2.0 and Copilot Studio to ensure full adoption and effective usage.
•	Develop standardized training materials and prompt libraries to support consistent use and efficiency.

Business Case Development:
•	Finalize and approve the business case for broader access to AI tools.
•	Develop additional business cases to secure incremental investments for AI initiatives.

Metrics and KPIs Refinement:
•	Implement newly defined impact-focused KPIs to better track productivity and efficiency gains.
•	Regularly review and adjust metrics to ensure alignment with business outcomes and strategic goals.

Communication and Showcasing:
•	Prepare for upcoming staff and all-hands meetings to showcase AI progress and demonstrate tangible benefits.
•	Highlight success stories and measurable impacts to reinforce the value of AI adoption.

Cultural Change and Leadership Engagement:
•	Continue addressing cultural resistance by involving leaders in planning and decision-making processes.
•	Foster a positive reinforcement environment to encourage leadership support for AI initiatives.

Ongoing Support and Evaluation:
•	Provide continuous support to teams using AI tools and address any challenges promptly.
Regularly evaluate the progress of AI initiatives and adjust strategies as needed to ensure successful adoption and value capture.
","Solis, Gilberto (Operations & Technology)","Just getting started","7/10/2025 9:56 AM","Bullio, Mariano (Operations & Technology)",
"June 2025","Professional Services (Corporates)","7/3/2025","[]","Green - As per plan or better","Further progress has been made on the Atrium AI page for Professional Services. We will utilize Idea Hub within the Atrium site for use case collection. We have a slight delay on the two initial use cases in UAT and are working through the issues. We now have 3 new cases in feasibility studies. We are developing our communications plan for the first two tools to roll out. ","No Risk or issues at this time","We are continuing to collect use cases. We will utilize our new Atrium page to streamline this effort. ","Discussions have evolved into communication efforts for the release of our first two use cases. We are working on internal communications and change management efforts to minimize disruptions. ","Continue to collect use cases, prioritize use cases against operational goals and metrics. ","Kellum, Blair (Professional Services)","Just getting started","7/3/2025 4:31 PM","Kellum, Blair (Professional Services)",
"June 2025","Latam Editorial","7/2/2025","Collaboration & Personal Productivity ,Content Analysis ,Content creation ,Contract Analysis,Contract Review for summarization or specific questions (General Use Case),Data validation and process automation,Editorial process improvement ,Legislation Comparator after Conversion,Summarization,Translation to journalistic standards","Green - As per plan or better","As a team we have in our OKR´s the commitment to save around 1.100 hours in 2025 (92,5 hours monthly). For June we saved around 123 hours. Also we are making some progress using Power Automate.","Although we have some initiatives with Power Automate, we are still far from having a complete workflow that allows us to achieve all the benefits that the use of AI can bring us.","No new use case using AI as we are focusing on automation that is saving 10 hours monthly in the flow of Magazines and Legislation, and also improving times to customer delivery.","Learning the rules to be considered Actively using AI. ","New automation using Power Automate for Legislation workflow (created by editorial team).","Ono, Juliana Mayumi O. (LatAm)","Fully integrated","7/10/2025 2:27 PM","Morse, Jonathan R. (TR People)","More exchange of information in terms of best practices as well as experts who can help us give more traction to automation."
"June 2025","GTM - AEM","6/3/2025","[]","Amber - Delay/Risk/Challenges","Around 1800 Call to Action(CTAs)  triggered in ANZ along with Tasks / playbook. Adoption is a challenge since there is a redundancy with Activity tracking being done in GSI/Salesforce.  Exploring 'Gainsight NXT' tool which will help in avoid overlap","Adoption and visibility to Larger sales/BDM team","Progress has been incremental and positive. But can be better. We are organizing Office hrs & training to CRM team ","Ongoing change management actions is work in progress","Organize frequent onboarding sessions, demonstrate benefits and value in adopting the tool",,"Progressed and being actively managed","6/25/2025 12:54 PM","Morse, Jonathan R. (TR People)",
"June 2025","Finance","6/5/2025","[]","Green - As per plan or better"," - Not moving forward with Copilot for Finance 
- Plan to have update session on Finance town hall in July to announce 100% adoption goal / provide metric update / tool refresh / use case ideas
- Asking Microsoft to host a copilot refresh training session with finance as part of our AI and Automation tool series 
- AskTR being sought after by Finance as HR is not moving forward with it 
-  ","n/a","Automation of contracts, accruals, calculations and payments: Did not get a finalized update from D&A - message into team to get the final result. 
Predictive release 9/25
Bundled products 9/25
Predictive/Bundled 12/25
GL account reconciliation Automation: No major changes 
AP Help Desk Chatbot: We need to see the outcome from Silvia after her conversation took place with Kim. Unsure what the outcome of the two decisions were. No additional meetings or comms on phase II have taken place. Silvia to follow up with Sudha to see if Finance can pilot 
Varicent Roadmap and Cases Automation (AI): New cases policy rolled out - will continue to educate and get in front of sales teams. Varicent AI Assistant approved and in use following a POC. Roadmap in green status. Continuing to explore Open Arena for cases. Continuing to highlight upstream issues and work with key stakeholders on prioritisation. Data validation and process automation:  20,000 efficiency savings identifed in masterplan, following Poland trip. Alteryx Academy has been launched. Alteryx workflow automation underway, with a target to complete some validation flows by end of June and begin parallel running for a couple of months.
Workforce data enhancements and reporting: Tranche 2 : Q3'25
EIP Consolidation of Functions: Further opportunities under discussion including areas like CxDT and RE
EIP Automation: month-end close & transactional activities: First tranche of automation complete ;  savings primarily during the WD-1 to WD+3 period ;  
Real Estate: Capacity and KRA reassessment: Complete ; additional opportunity of 1 FTE being explored
Consolidation (Capital): On track : PE transition ( additional activities ) planned ","Next two sessions for monthly AI / automation series planning in progress -- Microsoft and PowerBI part 2 
Town hall update session to communicate 100% AI goal 
Survey going out in two weeks to seek feedback on overall AI integration in Finance","n/a",,"Progressed and being actively managed","6/25/2025 12:54 PM","Morse, Jonathan R. (TR People)",
