"Use Case Name","Segment / Function","Date Updated","RAG Status","Stage","AI Tools","Use Case Strategy","Total Headcount Field","Use Case Description","Outcomes/Deliverables","Planned Status Q1 2025","Planned Status Q2 2025","Planned Status Q3 2025","Planned Status Q4 2025","Created","Modified","Modified By"
"AI Assist v2","Latam C2C, CS&S","11/30/2025","Green – as per plan or better","Ideation","AI Platform: Open Arena","Build",,"Expansion to all customers; Expansion into LLM cost-saving alternatives.","Expansion to all customers; Expansion into LLM cost-saving alternatives. ; Results: Support 30-50% of telephone calls, making the process more efficient and thus reducing the annual need to expand the team by 2/3 between 2023 and 2026. ","Ideation","Ideation","Ideation","Experimentation","1/28/2025 2:01 PM","5/28/2025 7:02 AM","Marangoni, Josiele (LatAm)"
"Solution Center Home","Latam C2C, CS&S","10/30/2026","Green – as per plan or better","Ideation","AI Platform: Open Arena","Build",,"Highlight AI-powered solutions to leverage the customer experience.","Highlight AI-powered solutions to leverage the customer experience. ; Results: Support 30-50% of telephone calls, making the process more efficient and thus reducing the annual need to expand the team by 2/3 between 2023 and 2026. ","Experimentation","Launch
",".",,"1/28/2025 2:02 PM","5/28/2025 7:03 AM","Marangoni, Josiele (LatAm)"
"AI Feedback - Quality and Efficiency Analysis in Chat Support","Latam C2C, CS&S","12/31/2024","Green – as per plan or better","Launch","AI Platform: Open Arena","Build",,"The routine analyzes the transcripts of the conversations and provides the desired information/feedback to managers","The routine analyzes the transcripts of the conversations and provides the desired information/feedback to managers ; Increase CSAT due to the acceleration of AI in identifying and fixing problems.","Launched / Maintenance","Launched / Maintenance","Launched / Maintenance","Launched / Maintenance","1/28/2025 2:02 PM","9/24/2025 9:25 AM","Morse, Jonathan R. (TR People)"
"Suggested Answers for Reps v2","Latam C2C, CS&S","9/30/2025","Green – as per plan or better","Ideation","Open Arena","Build",,"Adding this feature in the live chat channel.","Adding this feature in the live chat channel. ; Results: Support 30-50% of telephone calls, making the process more efficient and thus reducing the annual need to expand the team by 2/3 between 2023 and 2026. ","Ideation","Ideation","Experimentation","Implementation
","1/28/2025 2:03 PM","5/28/2025 7:04 AM","Marangoni, Josiele (LatAm)"
"Reduce manual agent work in creating call tickets","Latam C2C, CS&S","12/31/2025","Green – as per plan or better","Ideation","AI Platform: Open Arena","Build",,"AI will use the transcript to classify ""Topics"" and ""Subtopics"" from phone tickets.","AI will use the transcript to classify ""Topics"" and ""Subtopics"" from phone tickets. ; Results: Support 30-50% of telephone calls, making the process more efficient and thus reducing the annual need to expand the team by 2/3 between 2023 and 2026. ","Ideation","Ideation","Ideation","Experimentation","1/28/2025 2:04 PM","7/25/2025 11:59 AM","Marangoni, Josiele (LatAm)"
"Previous interactions with the same customer","Latam C2C, CS&S","12/31/2025","Green – as per plan or better","Ideation","AI Platform: Open Arena","Build",,"AI to provide the best approach to reps when the customer is calling on an issue that has already been addressed previously in the same company","AI to provide the best approach to reps when the customer is calling on an issue that has already been addressed previously in the same company. ; Results: Support 30-50% of telephone calls, making the process more efficient and thus reducing the annual need to expand the team by 2/3 between 2023 and 2026. ","Ideation","Ideation","Ideation","Experimentation","1/28/2025 2:05 PM","7/25/2025 11:59 AM","Marangoni, Josiele (LatAm)"
"Bug backlog","Latam C2C, CS&S","12/31/2025","Green – as per plan or better","Ideation","AI Platform: Open Arena","Build",,"The AI will identify if the customer's query is related to a known bug and provide an assessment with the resolution timeline or workaround.","The AI will identify if the customer's query is related to a known bug and provide an assessment with the resolution timeline or workaround. ; Results: Support 30-50% of telephone calls, making the process more efficient and thus reducing the annual need to expand the team by 2/3 between 2023 and 2026. ","Ideation","Ideation","Ideation","Experimentation","1/28/2025 2:05 PM","7/25/2025 12:00 PM","Marangoni, Josiele (LatAm)"
"AI Assist v3","Latam C2C, CS&S","12/31/2025","Green – as per plan or better","Ideation","AI Platform: Open Arena","Build",,"Implement RAG to improve chatbot search; Expand the content to more modules/products.","Implement RAG to improve chatbot search; Expand the content to more modules/products. ; Results: Support 30-50% of telephone calls, making the process more efficient and thus reducing the annual need to expand the team by 2/3 between 2023 and 2026. ","Ideation","Ideation","Ideation","Experimentation","1/28/2025 2:06 PM","5/28/2025 7:05 AM","Marangoni, Josiele (LatAm)"
"Solution Center","Latam C2C, CS&S","12/31/2025","Green – as per plan or better","Ideation","AI Platform: Open Arena","Build",,"Improve the search in the Solution Center with RAG+IA; Use human agent support summaries to provide insights for self-service, using AI to cross-reference information.","Improve the search in the Solution Center with RAG+IA; Use human agent support summaries to provide insights for self-service, using AI to cross-reference information. ; Results: Support 30-50% of telephone calls, making the process more efficient and thus reducing the annual need to expand the team by 2/3 between 2023 and 2026.","Ideation","Ideation","Ideation","Experimentation","1/28/2025 2:06 PM","5/28/2025 7:06 AM","Marangoni, Josiele (LatAm)"
"AI Feedback - Analysis of quality and efficiency of phone support","Latam C2C, CS&S","12/31/2025","Green – as per plan or better","Ideation","AI Platform: Open Arena","Build",,"The routine analyzes the transcripts of the conversations and provides the information you wantExpand it to repetitions.","The routine analyzes the transcripts of the conversations and provides the information you wantExpand it to repetitions. ; Increase CSAT due to the acceleration of AI in identifying and fixing problems. ","Ideation","Ideation","Experimentation","Experimentation","1/28/2025 2:07 PM","7/25/2025 12:01 PM","Marangoni, Josiele (LatAm)"
"Ticket creation – incoming calls","Latam C2C, CS&S","12/31/2025","Green – as per plan or better","Ideation","AI Platform: Open Arena","Build",,"AI to use transcription to automatically create all ticket details for the unresolved calls at the beginning.","AI to use transcription to automatically create all ticket details for the unresolved calls at the beginning. ; Results: Support 30-50% of telephone calls, making the process more efficient and thus reducing the annual need to expand the team by 2/3 between 2023 and 2026. ","Ideation","Ideation","Ideation","Experimentation","1/28/2025 2:08 PM","3/27/2025 5:56 PM","Marangoni, Josiele (LatAm)"
"Answer Suggestions - Daily Trends","Latam C2C, CS&S","12/31/2025","Green – as per plan or better","Ideation","AI Platform: Open Arena","Build",,"Analyze seasonal trends such as bugs or other changes at a specific time and provide suggestions to the agent based on those trends.","Analyze seasonal trends such as bugs or other changes at a specific time and provide suggestions to the agent based on those trends. ; Results: Support 30-50% of telephone calls, making the process more efficient and thus reducing the annual need to expand the team by 2/3 between 2023 and 2026.","Ideation","Ideation","Ideation","Experimentation","1/28/2025 2:08 PM","3/27/2025 5:57 PM","Marangoni, Josiele (LatAm)"
"Itinerary suggestions","Latam C2C, CS&S","12/31/2025","Green – as per plan or better","Ideation","AI Platform: Open Arena","Build",,"The AI will check if the customer's query is related to a known item in the roadmap and offer an opinion on a possible workaround.","The AI will check if the customer's query is related to a known item in the roadmap and offer an opinion on a possible workaround. ; Results: Support 30-50% of telephone calls, making the process more efficient and thus reducing the annual need to expand the team by 2/3 between 2023 and 2026. ","Ideation","Ideation","Ideation","Experimentation","1/28/2025 2:09 PM","3/27/2025 5:57 PM","Marangoni, Josiele (LatAm)"
"Solution Center - dynamic page","Latam C2C, CS&S","12/31/2025","Green – as per plan or better","Ideation","AI Platform: Open Arena","Build",,"Use AI to use requests/trends for better organization and categorization of featured content.","Use AI to use requests/trends for better organization and categorization of featured content. ; Results: Support 30-50% of telephone calls, making the process more efficient and thus reducing the annual need to expand the team by 2/3 between 2023 and 2026.","Ideation","Ideation","Ideation","Experimentation","1/28/2025 2:10 PM","3/27/2025 5:58 PM","Marangoni, Josiele (LatAm)"
"Content Knowledge Management using 'Ask Connie' Chat BOT","Content Ops","8/26/2025","Green – as per plan or better","Implementation","Content Console,AI Platform: Open Arena","Build",,"Create an AI agent to answer questions related to content processing.","- Reduce Onboarding Time 
- Improve employee productivity
- Efficiency gain equivalent to ~6 FTEs / 10020 hours","Continue Content Knowledge Point clean-up and enhance the Ask Connie agent","Complete Content Knowledge Point clean-up activity. 

Continued to enhance the Ask Connie agent.","Go-live with the Ask Connie agent.","NA","1/28/2025 2:17 PM","8/26/2025 10:08 AM","Tripathi, Ravi (Content Operations)"
"AP Helpdesk Chatbot","Finance","8/7/2025","Green – as per plan or better","Launch","AI Platform,CoPilot Studio","Build",,"This is a chatbot in Teams that internal users will use to address 80% of the queries related to status of supplier’s invoices and payments.  Phase 1: payment status, to be paid date, policies link and link to queries. Phase 2: Provide debit status from bank providing end-to-end payment from TR to vendors' bank accounts ","This is a chatbot in Teams that internal users will use to address 80% of the queries related to status of supplier’s invoices and payments.  Phase 1: payment status, to be paid date, policies link and link to queries. Phase 2: Provide debit status from bank providing end-to-end payment from TR to vendors' bank accounts ","To be integrated in Ask TR","To be integrated in Ask TR","AskTR team to discuss better selcetions and use cases / align tech resources with business resources ","Follow up on path forward","1/28/2025 2:18 PM","8/7/2025 7:41 AM","Delaney, Ann (TR Finance)"
"Commissions Chatbot","Finance",,"Green – as per plan or better","Launch","AI Platform","Build",,,"This Chatbot will provide a first response to our sales reps inquiring about missing orders. ","To be integrated in Ask TR","To be integrated in Ask TR",,,"1/28/2025 2:19 PM","1/28/2025 2:19 PM","Morse, Jonathan R. (TR People)"
"Finance Reporting Dashboard & Commentary (Variance Analysis) ","Finance","8/7/2025","Amber – delay/risks/challenges","Experimentation","CoPilot for Finance,Open Arena,AI Platform","Hybrid",,"Automated summary of various expense datasets generated through AI models . Leverage AI/LLM models to generate automated summary utilized for QBR meetings or leadership discussions at CXO level based on Actuals, Plan/Forecast data in MDS(Snowflake)  ","Automated summary of various expense datasets generated through AI models . Leverage AI/LLM models to generate automated summary utilized for QBR meetings or leadership discussions at CXO level based on Actuals, Plan/Forecast data in MDS(Snowflake)  ","Build and Implementation","Build and Implementation","Build and Implementation","Build and Implementation","1/28/2025 2:22 PM","8/7/2025 7:48 AM","Delaney, Ann (TR Finance)"
"Talent Acquisition - JD GenAI","People / Comms","10/8/2025","Green – as per plan or better","Launch","Workday","Hybrid",,"Leverage Workday's AI-powered Job Description Generator to streamline and standardize job posting creation for ~94 Talent Acquisition Specialists and hiring managers, reducing manual effort and improving consistency across job descriptions.","Reduced time-to-post for job descriptions, improved job description quality and consistency, enhanced candidate attraction through optimized job postings, and increased TA specialist productivity.","Maintenance","Maintenance","Maintenance","Maintenance","1/28/2025 2:24 PM","10/8/2025 3:26 PM","Morse, Jonathan R. (TR People)"
"Talent Acquisition - Screening","People / Comms","10/8/2025","Red – stopped/postponed > 3 months","Not Implemented","Workday","Hybrid",,"Implement Workday's Candidate Rating system to automate initial resume screening processes for ~94 Talent Acquisition Specialists, enabling faster candidate identification and improved screening consistency.","Enhanced candidate search capabilities through Workday-assisted filtering, improved project rediscovery processes, and reduced manual screening time for recruiters.","Candidate Workday assisted search & project rediscovery ","N/A - Not Implemented","N/A - Not Implemented","N/A - Not Implemented","1/28/2025 2:25 PM","10/8/2025 3:27 PM","Morse, Jonathan R. (TR People)"
"Talent Acquisition - LI Recruiter (sourcing)","People / Comms","10/8/2025","Green – as per plan or better","Launch","LinkedIn","Buy",,"Utilize LinkedIn Recruiter's advanced search filters and automated InMail capabilities to improve candidate sourcing efficiency, enabling more targeted outreach and higher response rates from qualified candidates.","Increased candidate response rates through personalized messaging, faster search results and candidate identification, improved sourcing efficiency, and enhanced recruiter productivity through automation.","TA Office Hours – use cases and examples","TA Office Hours – use cases and examples","August 2025 Update:
•	Strong adoption of LIR filters and automated inmail
•	Continuing to emphasize value, usage 

TA Office Hours - use case and examples","TA Office Hours - use case and examples","1/28/2025 2:25 PM","10/8/2025 3:28 PM","Morse, Jonathan R. (TR People)"
"Talent Acquisition - LI Agentic - Hiring Assistant (sourcing)","People / Comms","10/8/2025","Green – as per plan or better","Experimentation","LinkedIn","Buy",,"Deploy LinkedIn's Agentic AI Hiring Assistant to automate candidate sourcing and initial screening processes, reducing manual effort while maintaining quality candidate identification for recruitment teams.","Automated candidate sourcing workflows, streamlined screening processes, reduced time-to-fill metrics, and improved hiring decision quality through AI-enhanced candidate matching.","LI Hiring Assistant availability / configuration 
(end Feb)
Pilot kickoff – 20 recruiters","Webinars/ training, feedback sessions with TR and LinkedIn","August '25 Update:
•	We achieved 17 hires from Hiring Assistant. 
•	Continuing to test tool. 

Webinars/training 
Feedback sessions w/ TR and LinkedIn. Pilot ends in September.
","Hiring Assistant launch and rollout to be determined","1/28/2025 2:26 PM","10/8/2025 3:28 PM","Morse, Jonathan R. (TR People)"
"Comms - Content Creation","People / Comms","10/8/2025","Green – as per plan or better","Experimentation","Open Arena,CoPilot 365,Poppulo,Adobe Firefly / Express","Hybrid",,"Leverage multiple AI platforms (Open Arena, Copilot 365, Poppulo, Adobe Firefly) to streamline content creation across press releases, social media, blogs, scripts, and video content, while refining message templates for consistent brand communication.","Efficiency gains in content creation, reduced time and effort for content development, improved content quality and consistency, and expanded content creation capabilities including video production.","Use case planning and testing underway for:  Drafting press releases, social media copy, blogs, and scripts.  Creating and expanding written content across platforms. Refining messaging templates (ESIM/ETIM)

","Maximize efficiency gains 20% 

Test new tools as available","Maximize efficiency gains 20% 

Test new tools as available ","Maximize efficiency gains 20% 

Test new tools as available ","1/28/2025 2:30 PM","10/8/2025 3:29 PM","Morse, Jonathan R. (TR People)"
"Comms - Feedback Analysis","People / Comms","10/8/2025","Green – as per plan or better","Experimentation","Open Arena,CoPilot 365,People.ai,Poppulo","Hybrid",,"Leverage AI tools (Open Arena, Copilot 365, People.ai, Poppulo) to perform sentiment analysis on employee feedback and surveys, summarize large documents and meeting transcripts, generate insights from reports, and convert presentation content into written formats for comprehensive feedback analysis.","Enhanced employee feedback analysis through sentiment analysis of OHI and Pulse surveys, 10-15% efficiency gains in document processing, improved insights generation from reports, and streamlined conversion of presentation content to written formats.","Summarize large documents and meeting transcripts, generating insights from reports, converting presentation content into written formats.","Maximize efficiency gains 10%, Test new tools as available (Poppulo) ","Maximize efficiency gains 15%, Test new tools as available (Poppulo) ","Maximize efficiency gains 15%, Test new tools as available (Poppulo) ","1/28/2025 2:32 PM","10/8/2025 3:30 PM","Morse, Jonathan R. (TR People)"
"Comms - Translation","People / Comms","10/8/2025","Amber – delay/risks/challenges","Ideation","Open Arena,CoPilot 365,Poppulo","Hybrid",,"Implement auto-translation capabilities in Poppulo with AI assistants for ""smart intern"" functionality, including interview preparation and question generation to enable seamless content translation between English and other languages.","Automated content translation from English to other languages and vice versa, reduced manual translation effort, improved global communication consistency, and enhanced multilingual content accessibility.","Use case yet to be tested - access to Translate option is required.  Conversations ongoing with Poppulo on access to translations functionality.","Conversations with Poppulo on access to translations functionality still ongoing","tbd","tbd","1/28/2025 2:33 PM","10/8/2025 3:31 PM","Morse, Jonathan R. (TR People)"
"Comms - Comms Planning","People / Comms","10/8/2025","Green – as per plan or better","Experimentation","Open Arena,CoPilot 365,Poppulo","Hybrid",,"Utilize AI tools (Open Arena, Copilot 365, Poppulo) to streamline drafting and refining stakeholder and communication plans, create organizational announcements, and develop comprehensive messaging strategies for improved communication effectiveness.","Enhanced planning and scheduling of communication activities, improved stakeholder engagement through refined communication plans, consistent organizational messaging, and more effective messaging strategy development.","drafting and refining stakeholder and communication plans, creating org announcements, developing messaging strategies","tbd","tbd","tbd","1/28/2025 2:34 PM","10/8/2025 3:32 PM","Morse, Jonathan R. (TR People)"
"Analytics - Gen AI & ML","People / Comms","10/8/2025","Green – as per plan or better","Launch","AI Platform: Forsta,AI Platform: Open Arena","Hybrid",,"Build AI-enabled chatbot using Forsta and Open Arena AI platforms for key task automation and query resolution, supporting analytics functions with intelligent response capabilities and automated workflow management.","Automated query resolution through AI chatbot, reduced manual support requests, improved response times for analytics inquiries, and enhanced user self-service capabilities through intelligent automation.","Forsta ongoing roadmap (TBD) ","Forsta ongoing roadmap (TBD) ","Continued Maintenance","Continued Maintenance","1/28/2025 2:36 PM","10/8/2025 3:32 PM","Morse, Jonathan R. (TR People)"
"Analytics - Data foundation","People / Comms","10/8/2025","Green – as per plan or better","Launch","AI Platform","Build",,"Execute comprehensive migration of existing data infrastructure to a modern Data Lake architecture, establishing robust data foundation to support advanced analytics and AI initiatives across the organization.","Successful migration of Data Lake infrastructure, improved data accessibility and processing capabilities, enhanced analytics foundation for AI initiatives, and scalable data architecture for future growth.","Continued Maintenance","Continued Maintenance","Continued Maintenance","Continued Maintenance","1/28/2025 2:37 PM","10/8/2025 3:36 PM","Morse, Jonathan R. (TR People)"
"Analytics - Process Automation & Audit","People / Comms","10/8/2025","Green – as per plan or better","Launch","AI Platform","Build",,"Build comprehensive data models in the Data Lake and develop AI-powered automations for key analytics processes, enabling streamlined workflows and enhanced audit capabilities for improved operational efficiency.","Automated key analytics processes, robust data models in Data Lake architecture, improved audit capabilities and compliance tracking, and enhanced operational efficiency through intelligent process automation.","Continued Maintenance","Continued Maintenance","Continued Maintenance","Continued Maintenance","1/28/2025 2:37 PM","10/8/2025 3:35 PM","Morse, Jonathan R. (TR People)"
"Other AI Experimentation - People.ai","People / Comms","10/8/2025","Green – as per plan or better","Implementation","People.ai,Open Arena,AI Platform: Open Arena","Build",,"Develop custom applications using People.ai and Open Arena for sentiment analysis, text summarization, draft generation, Q&A against knowledge articles, querying people data, content governance, benefits comparison, and advanced data model management.","Comprehensive AI-powered analytics including sentiment analysis, text summarization, draft generation, Q&A capabilities, people data querying, content governance, benefits comparison tools, and advanced data management infrastructure.","•	Data Query functionality
•	Infrastructure in Data Lake to manage all content and HR data
•	Automated workflows for repetitive processes
","•	Content Governance functionality with AI-based suggestions
•	Generating charts and graphs from data
•	Advanced storage and management service for unstructured data
","Launch People.ai

Structured & Unstructured data in Enterprise Data Lake
","Monitor","1/28/2025 2:38 PM","10/8/2025 3:36 PM","Morse, Jonathan R. (TR People)"
"HR Services - Ask TR / Conversational AI - Digital Assistant","People / Comms","10/8/2025","Red – stopped/postponed > 3 months","Not Implemented","AI Platform: Amelia,Workday","Hybrid",,"Develop conversational AI chatbot (AskTR) using Amelia AI Platform and Workday integration to provide automated HR support and information access for employees, creating foundation for future digital assistant capabilities.","Automated HR inquiry responses, improved employee self-service capabilities, reduced manual HR support requests, and enhanced employee experience through intelligent digital assistant functionality. Currently on hold pending foundational work completion.","Use case on hold","Use case on hold","Use case on hold","Use case on hold","1/28/2025 2:39 PM","10/8/2025 3:37 PM","Morse, Jonathan R. (TR People)"
"HR Services - WD Case Mgmt","People / Comms","10/8/2025","Green – as per plan or better","Launch","Workday","Buy",,"Implement Workday Case Management system to centralize employee inquiries and HR requests, utilizing AI case intelligence for automated routing, SLA management, template utilization, and knowledge article integration for consistent, trackable employee support experience.","Faster resolution times through standardized workflows, improved visibility via dashboards and analytics, consistent compliant responses using templates and knowledge base, reduced manual effort and handoffs, and enhanced employee experience with self-service and clear status tracking.","AI Case intelligence in Workday.  ","AI Case intelligence in Workday.  ","Monitor","Monitor","1/28/2025 2:40 PM","10/8/2025 3:39 PM","Morse, Jonathan R. (TR People)"
"Other AI Experimentation - AI Coaching (Learning & Dev)","People / Comms","10/8/2025","Green – as per plan or better","Launch","Open Arena","Build",,"Launch AI-powered coaching tool via Open Arena to support people leader development and effectiveness by providing personalized, on-demand coaching and guidance for navigating challenges, enhancing skills, and managing team dynamics.","Enhanced employee and people leader development through personalized coaching, improved leadership effectiveness, on-demand guidance for team management challenges, and increased skill development capabilities across the organization.","•	DIA
•	Design / build tool in AI Concept Hub
•	SME testing
•	Change/comms planning","•	Early Adopter launches, feedback / testing / iterating
•	Determine further use cases and finalize broader launch plans
","•	Developed plan for soft launch including outline of comms approach
•	Continued testing and tool iteration with a focus on prompts for mid year check-ins.
•	Launch to all/Ees Managers in Mid-Year Performance Check-ins, reinforce in Q3 check-ins
•	Ongoing comms & use case exploration (e.g. GMW, MaTR, LaTR)
•	Experiment with enhancements to address user feedback
","•	Embed & reinforce in year-end reviews
•	Ongoing comms & use case exploration (e.g. GMW, MaTR, LaTR)
•	Experiment with enhancements to address user feedback
","1/28/2025 2:45 PM","10/8/2025 3:40 PM","Morse, Jonathan R. (TR People)"
"HR Services - Content Management & Experience","People / Comms","10/8/2025","Green – as per plan or better","Experimentation","Workday","Build",,"Develop comprehensive HR content strategy and governance framework using Workday to better enable AI capabilities, including content inventory assessment, metadata optimization, taxonomy development, and content management workflow enhancement.","Comprehensive HR content inventory and assessment, improved content annotation and metadata management, optimized content management strategy with clear governance workflows, enhanced content navigation standards, and strategic content optimization for AI enablement.","Assessment and Planning.  Create a comprehensive HR content inventory.
Evaluate existing content annotation, metadata, taxonomy.
Talk of how we are recording the content.
","Infrastructure Development
- Develop technology solution to support content governance needs
- Evaluate the solution with content experts and owners and operationalize the QA workflow
- Optimize Content Management Strategy - Evaluate existing content platforms: what goes in Atrium and why, what goes in WD and why, governance frequency etc.","Content Optimization
- Confirmation on assessment and update of the content
- Regular connect with content owners to confirm on the changes suggested
- Develop Change management strategy: why behind the change to stakeholders, set expectations with the content owners
- Governance Review: Assess governance effectiveness and adjust policies as needed
- Develop standards to aid content navigation
","Refinement & Future Planning
- Strategic Adjustments: Refine strategy based on data and plan new initiatives.
- Future Roadmap: Begin planning next year's content goals and expansion","1/28/2025 2:49 PM","10/8/2025 3:40 PM","Morse, Jonathan R. (TR People)"
"HR Services - Global HR Services","People / Comms","10/8/2025","Green – as per plan or better","Implementation","Workday","Build","20","Form and optimize Global HR Services organization within Digital HR team, leveraging global talent and design thinking to drive efficiency, process standardization, and enhanced employee experience through scalable service delivery model.","Improved operational efficiency through global service model, enhanced process standardization and scalability, improved employee experience through optimized service delivery, data-driven HR strategies, and employee growth through skills development and global exposure.","Transition and Discovery
- Team Transition: Ensure a smooth employee transition from a WD and experience perspective.
- Assess and evaluate the current state of Global HR Services, including processes, systems, and tools. 
- Identify opportunity areas that require optimization and prioritize them based on business impact and feasibility, and 2025 priorities.","Model Optimization and Process Enhancement
- Operating model Optimization: Develop plan to optimize the model for operational efficiency. 
- Refine what is in-scope and engage stakeholders (i.e., Team, Regions) for input
- Identify and prioritize opportunities for optimization (i.e., WD processes, scale)
- Team optimization: Ensure transitioned employees are clear on roles and responsibilities while ensuring role is aligned to skills.","Model Optimization and Service Delivery Excellence 
- Case Management and Optimization: Optimize case management to align with refined operating model. 
- Automation and Process Improvement: Continue to execute optimization opportunities.  i.e. Ask TR
- Stabilization: Address operational issues for consistent service.
- Feedback: Use feedback for iterative improvements.
- Content Optimization: Partner with workstream to identify optimization opportunities to support the experience.","Continuous Improvement and Optimization
- Ongoing Optimization: Implement improvements based on data.
- Performance Evaluation: Assess model against KPIs.
- Emerging Trends: Research and compare to Identify long-term improvements and opportunities for future growth.","1/30/2025 9:34 AM","10/8/2025 3:41 PM","Morse, Jonathan R. (TR People)"
"Talent Acquisition - BrightHire (Candidate Assess/ Experience)","People / Comms","10/8/2025","Green – as per plan or better","Experimentation","BrightHire","Buy",,"Recording all screening and interview stages from recruiter interactions to job fit assessments, enabling improved decision-making through enhanced hiring signals and streamlined candidate sharing across multiple roles.","Comprehensive interview recording and analysis capabilities, improved hiring decision-making through enhanced signals, streamlined candidate evaluation and sharing processes, and enhanced interview quality and consistency across all hiring stages.","Determine integration capabilities with plans to pilot for 6 months.","Training kicked off for Recruiters, TACs, Hiring Managers, and Interviewers

All TR Labs interviews are being scheduled with Brighthire
","August ' 25 Update:
•	Workday Integration Complete
•	Pilot has kicked off for HMs and Interviewers
•	Rooster Templates
•	Interviews in progress
•	Interview Templates
•	Kick-off with Exec Recruiting Team

Executive Surveys Interview Templates
BrightHire Pilot Completed 7/31. Presentation to continue with Product 8/29
","Assess global scaling for launch

Launch BrightHire for O&T
","1/30/2025 9:51 AM","10/8/2025 3:43 PM","Morse, Jonathan R. (TR People)"
"Product Requirements Document (PRD) Assistant - Product Managers","Product (Design & Mgmt)","9/23/2025","Green – as per plan or better","Launch","AI Platform: Open Arena,CoPilot 365","Build","443","Product managers require an AI tool that streamlines the creation of a Product Requirements Document (PRD) to center around the customer problem and value, define product roadmap items early in the Product Development Lifecycle (PDLC), bring transparency and intentionality to what is being built and why, and provide source-of-truth visibility for all stakeholders on the details of product roadmap items. This AI chain facilitates creation of a PRD based on the standardized template which includes: customer problem, customer research, proposed solution, and success metrics to deliver value to our customers, and is associated with a Product Roadmap release (Epic).","Interactive exemplar AI chain that assists Product Manager in creating a PRD.
Product Requirements Document (PRD) outlines high-level requirements, background information, and provides the direction a cross-functional team needs to move forward on implementation to solve a customer problem and provide customer value.","Implementation and Launch","Refinement","Refinement","Refinement","1/30/2025 9:53 AM","9/23/2025 1:25 PM","Shaler, Sara (TR Product)"
"Talent Acquisition - AI Recruiter Summary","People / Comms","10/8/2025","Green – as per plan or better","Launch","Open Arena","Build",,"Deploy custom AI tool via AI Concept Hub using Open Arena for automated recording and summarization of interview and intake session notes, improving recruiter decision-making and enhancing partnership effectiveness with hiring managers.","Automated interview and intake note summarization, improved recruiter decision-making through structured documentation, enhanced hiring manager partnership through better information sharing, and increased efficiency in candidate evaluation processes.","Interview / Intake Notes testing launch on Feb 13 for 2 weeks. Plans to train TA in Q2","Continue to drive user adoption on Recruiter Summary via TA Office Hours – use cases and examples 

Based on feedback, we are adding additional functionality. Developer and UI meeting on 6/24
","August 2025 Updates: 
•	Monitoring usage and adoption – Recruiter usage has been low so far for both usage and feedback submittals.
•	Adding new features based on Testing team feedback (Additional Prompt and Summary Save)

Implement product updates based on feedback and share with Global Recruiting

Continue to drive user adoption on Recruiter Summary & Intake Session via TA Office Hours – use cases and examples

","Continue to measure usage and share best practices via TA Office Hours – use cases and examples

Implement HM Intake version","1/30/2025 9:54 AM","10/8/2025 3:43 PM","Morse, Jonathan R. (TR People)"
"ADO User Story - Product Managers","Product (Design & Mgmt)","9/23/2025","Green – as per plan or better","Launch","AI Platform: Open Arena,CoPilot 365","Build","443","Product managers require an AI tool that streamlines the User Story creation process to ensure that each User Story is user-centric and aligned with the project's goals. It automates creation of User Stories by generating them from the end-user's perspective, using the format “As a [user], I want [goal] so that [benefit].” It ensures that each User Story has clear acceptance criteria, is small, testable, and achievable within a single sprint such that the generated User Stories can be assigned to individual team area paths for backlog grooming and stack-rank assignment before being pulled into an iteration. This AI chain facilitates collaborative refinement with the team during backlog refinement sessions to ensure stories and tasks are clearly defined and understood. ","Interactive exemplar AI chain that assists Product Manager in creating a User Story in Azure DevOps (ADO).
ADO User Story serves as a concise description of a Feature requirement from the perspective of the user and focuses on the action taken to achieve a specific goal within a product. The purpose of a User Story is to guide the development process by detailing who the user is, what they want, and why they need the feature to help prioritize and plan during backlog grooming.","Implementation and Launch","Refinement","Refinement","Refinement","1/30/2025 9:55 AM","9/23/2025 1:26 PM","Shaler, Sara (TR Product)"
"ADO Feature - Product Managers","Product (Design & Mgmt)","9/23/2025","Green – as per plan or better","Launch","AI Platform: Open Arena,CoPilot 365","Build","443","Product managers require an AI tool that automates creation of Features by defining them as functional areas or capabilities that contribute to an Epic, ensuring each Feature has a clear customer benefit. The AI chain creates Features based on business value, urgency, and dependencies, ensuring they are well-defined and scoped to be achievable within a few sprints and can be decomposed into User Stories that describe specific functionality from an end-user perspective, focusing on delivering tangible value.","Interactive exemplar AI chain that assists Product Manager in creating a Feature in Azure DevOps (ADO).
ADO Feature is a piece of functionality that represents how we will deliver value to an external or internal customer. Features provide customer benefit to comprise the scope of value delivered in an Epic. Features should be well-defined and achievable within a few sprints and can span one or more months but usually take less than a quarter.  ","Ideation","Implementation and Launch","Refinement","Refinement","1/30/2025 9:56 AM","9/23/2025 1:26 PM","Shaler, Sara (TR Product)"
